"APPLICATION_NAME","MODULE_NAME","SERVICE_NAME","TOTAL_TRANSATION","AVERAGE_RESPONSE_TIME","LESS_THAN_5s","RATE_LESS_THAN_5s","BETWEEN_5s_TO_10s","RATE_BETWEEN_5s_TO_10s","BETWEEN_10s_TO_15s","RATE_BETWEEN_10s_TO_15s","BETWEEN_15s_TO_20s","RATE_BETWEEN_15s_TO_20s","MORE_THAN_20s","RATE_MORE_THAN_20s"
"CS2-ACZ-COSCON-PROD","Bill Of Lading Print","B/L Print save view request",143,"9.412587",77,"53.8%",45,"31.4%",11,"7.69%",10,"6.99%",18,"12.5%"
"CS2-ACZ-COSCON-PROD","Bill Of Lading Print","Bill Of Lading Print View BL Process",144,"589.472222",0,"0%",0,"0%",0,"0%",0,"0%",144,"100%"
"CS2-ACZ-COSCON-PROD","Booking Request","Add appointment",1,"2.000000",1,"100%",0,"0%",0,"0%",0,"0%",0,"0%"
"CS2-ACZ-COSCON-PROD","Booking Request","Auto complete on origin, destination when using BR datasource",5413,"1.584519",5311,"98.1%",86,"1.58%",26,"0.48%",15,"0.27%",18,"0.33%"
"CS2-ACZ-COSCON-PROD","Booking Request","Auto complete on origin, destination when using SSM datasoruce",22260,"2.499641",21132,"94.9%",627,"2.81%",248,"1.11%",177,"0.79%",324,"1.45%"
"CS2-ACZ-COSCON-PROD","Booking Request","Auto complete on vessel when using Intended Vessel Voyage",1925,"784.888831",177,"9.19%",0,"0%",15,"0.77%",105,"5.45%",1662,"86.3%"
"CS2-ACZ-COSCON-PROD","Booking Request","Copy booking from shipment detail",40,"17.050000",0,"0%",16,"40%",12,"30%",7,"17.5%",10,"25%"
"CS2-ACZ-COSCON-PROD","Booking Request","Delete draft",9,"135.555556",0,"0%",0,"0%",0,"0%",1,"11.1%",8,"88.8%"
"CS2-ACZ-COSCON-PROD","Booking Request","Delete template",8,"379.000000",0,"0%",0,"0%",0,"0%",0,"0%",8,"100%"
"CS2-ACZ-COSCON-PROD","Booking Request","Find party",4283,"41.103666",3110,"72.6%",247,"5.76%",188,"4.38%",140,"3.26%",713,"16.6%"
"CS2-ACZ-COSCON-PROD","Booking Request","Find sailing schedule",4869,"1.011091",4863,"99.8%",8,"0.16%",0,"0%",0,"0%",1,"0.02%"
"CS2-ACZ-COSCON-PROD","Booking Request","List carrieer assigned templates",11,"19.181818",2,"18.1%",4,"36.3%",1,"9.09%",2,"18.1%",2,"18.1%"
"CS2-ACZ-COSCON-PROD","Booking Request","List drafts",287,"7.118467",213,"74.2%",38,"13.2%",16,"5.57%",8,"2.78%",31,"10.8%"
